Log_Mass,Log_Rad,err_Log_Rad
9.85,0.62,0.20
10.00,0.58,0.20
8.90,0.30,-0.30
9.91,0.75,0.20
9.90,0.84,0.20
9.97,0.63,0.20
9.49,0.72,0.20
9.67,0.58,0.20
9.29,0.31,0.20
9.39,0.34,0.20
9.87,0.67,0.20
10.19,0.67,0.20
9.33,0.57,0.20
10.14,0.95,0.20
9.96,0.70,0.20
9.75,0.67,0.20
9.62,0.70,0.20
10.47,0.88,0.20
9.42,0.35,0.20
8.85,0.35,0.20
8.92,0.36,0.20
9.36,0.53,0.20
10.06,1.02,0.20
9.03,0.75,0.20
9.87,0.58,0.20
9.69,0.76,0.20
9.32,0.74,0.20
9.78,0.70,0.20
10.18,0.80,0.20
9.86,1.03,0.2
